run	first_artifact	last_artifact	task_root	legacy_result	plan_count	log_file_count
0001	2026-05-21 16:27:24	2026-05-21 20:07:35	tasks/phase1_diamond_c/sto3g/smoke/0001_deepsolid_runtime_smoke	phase1_diamond_c/sto3g/smoke/deepsolid_runtime_smoke	4	8
0002	2026-05-21 16:46:14	2026-05-21 16:46:14	tasks/phase1_diamond_c/sto3g/smoke/0002_deepsolid_gpu_device_smoke		0	2
0003	2026-05-21 18:06:12	2026-05-21 18:06:44	tasks/phase1_diamond_c/sto3g/smoke/0003_deepsolid_one_step_adam_smoke	phase1_diamond_c/sto3g/smoke/deepsolid_one_step_adam_smoke	1	2
0004	2026-05-21 18:10:28	2026-05-21 18:11:01	tasks/phase1_diamond_c/sto3g/smoke/0004_deepsolid_one_step_adam_checkpoint_shim_smoke	phase1_diamond_c/sto3g/smoke/deepsolid_one_step_adam_checkpoint_shim_smoke	1	2
0006	2026-05-21 20:23:45	2026-05-22 11:05:21	tasks/phase1_diamond_c/sto3g/training/0006_deepsolid_validation_short	phase1_diamond_c/sto3g/training/deepsolid_validation_short	1	2
0007	2026-05-21 20:28:57	2026-05-22 11:05:21	tasks/phase1_diamond_c/sto3g/training/0007_deepsolid_validation_stable	phase1_diamond_c/sto3g/training/deepsolid_validation_stable	1	2
0008	2026-05-21 20:40:32	2026-05-22 11:05:21	tasks/phase1_diamond_c/sto3g/training/0008_deepsolid_validation_pretrain	phase1_diamond_c/sto3g/training/deepsolid_validation_pretrain	2	4
0009	2026-05-21 20:56:23	2026-05-22 11:05:21	tasks/phase1_diamond_c/sto3g/training/0009_deepsolid_validation_medium	phase1_diamond_c/sto3g/training/deepsolid_validation_medium	2	4
0010	2026-05-21 21:30:14	2026-05-22 11:05:21	tasks/phase1_diamond_c/sto3g/training/0010_deepsolid_validation_batch64_mcmc10_20min	phase1_diamond_c/sto3g/training/deepsolid_validation_batch64_mcmc10_20min	1	2
0011	2026-05-21 21:48:23	2026-05-22 11:05:21	tasks/phase1_diamond_c/sto3g/training/0011_deepsolid_validation_iter5000_batch96_mcmc12	phase1_diamond_c/sto3g/training/deepsolid_validation_iter5000_batch96_mcmc12	1	2
0012	2026-05-21 22:12:09	2026-05-22 11:05:21	tasks/phase1_diamond_c/sto3g/training/0012_deepsolid_validation_iter5000_batch96_mcmc12_full	phase1_diamond_c/sto3g/training/deepsolid_validation_iter5000_batch96_mcmc12_full	1	2
0013	2026-05-21 22:49:23	2026-05-22 11:05:21	tasks/phase1_diamond_c/sto3g/evaluation/0013_deepsolid_evaluate_ckpt4999_batch96_mcmc20	phase1_diamond_c/sto3g/evaluation/deepsolid_evaluate_ckpt4999_batch96_mcmc20	1	2
0014	2026-05-21 23:43:15	2026-05-22 11:05:21	tasks/phase1_diamond_c/sto3g/continuation/0014_deepsolid_continue_ckpt4999_lr2e4_batch96_mcmc20	phase1_diamond_c/sto3g/continuation/deepsolid_continue_ckpt4999_lr2e4_batch96_mcmc20	2	2
0015	2026-05-22 00:09:11	2026-05-22 11:05:21	tasks/phase1_diamond_c/sto3g/continuation/0015_deepsolid_continue_ckpt9999_lr1e4_batch96_mcmc20_iter30000	phase1_diamond_c/sto3g/continuation/deepsolid_continue_ckpt9999_lr1e4_batch96_mcmc20_iter30000	0	2
0016	2026-05-22 00:46:38	2026-05-22 11:05:21	tasks/phase1_diamond_c/sto3g/evaluation/0016_deepsolid_evaluate_ckpt29999_batch96_mcmc30_iter40000	phase1_diamond_c/sto3g/evaluation/deepsolid_evaluate_ckpt29999_batch96_mcmc30_iter40000	0	2
0017	2026-05-22 01:16:06	2026-05-22 11:05:21	tasks/phase1_diamond_c/sto3g/evaluation/0017_deepsolid_evaluate_ckpt29999_seed20260522_batch96_mcmc30_iter40000	phase1_diamond_c/sto3g/evaluation/deepsolid_evaluate_ckpt29999_seed20260522_batch96_mcmc30_iter40000	0	2
0018	2026-05-22 10:32:57	2026-05-22 10:32:57	tasks/phase1_diamond_c/ccpvdz/references/0018_deepsolid_ccpvdz_hf_reference	phase1_diamond_c/ccpvdz/references/deepsolid_ccpvdz_hf_reference	0	0
0019	2026-05-22 10:38:59	2026-05-22 11:05:21	tasks/phase1_diamond_c/ccpvdz/training/0019_deepsolid_ccpvdz_paper_net_batch384_mcmc20_adam_sanity	phase1_diamond_c/ccpvdz/training/deepsolid_ccpvdz_paper_net_batch384_mcmc20_adam_sanity	1	2
0020	2026-05-22 11:10:50	2026-05-22 12:09:25	tasks/phase1_diamond_c/ccpvdz/continuation/0020_deepsolid_ccpvdz_paper_net_continue_ckpt999_lr2e4_batch384_mcmc20_iter10000	phase1_diamond_c/ccpvdz/continuation/deepsolid_ccpvdz_paper_net_continue_ckpt999_lr2e4_batch384_mcmc20_iter10000	1	2
0021	2026-05-22 12:23:43	2026-05-22 14:22:18	tasks/phase1_diamond_c/ccpvdz/continuation/0021_deepsolid_ccpvdz_paper_net_continue_ckpt9999_lr1e4_batch384_mcmc20_iter30000	phase1_diamond_c/ccpvdz/continuation/deepsolid_ccpvdz_paper_net_continue_ckpt9999_lr1e4_batch384_mcmc20_iter30000	1	2
0022	2026-05-22 13:44:52	2026-05-22 13:44:52	tasks/phase1_diamond_c/ccpvdz/smoke/0022_deepsolid_ground_smoke	phase1_diamond_c/ccpvdz/smoke/deepsolid_ground_smoke	1	0
0023	2026-05-22 14:29:00	2026-05-22 16:19:46	tasks/phase1_diamond_c/ccpvdz/continuation/0023_deepsolid_ccpvdz_paper_net_continue_ckpt29999_lr5e5_batch384_mcmc20_iter50000	phase1_diamond_c/ccpvdz/continuation/deepsolid_ccpvdz_paper_net_continue_ckpt29999_lr5e5_batch384_mcmc20_iter50000	6	2
0024	2026-05-22 14:54:34	2026-05-22 14:54:34	tasks/phase1_diamond_c/ccpvdz/probe/0024_gpu_policy_autosize_dryrun		1	0
0025	2026-05-22 16:27:49	2026-05-22 16:27:49	tasks/phase1_diamond_c/ccpvdz/continuation/0025_deepsolid_ccpvdz_paper_net_continue_ckpt49999_lr2e5_batch384_mcmc20_iter100000	phase1_diamond_c/ccpvdz/continuation/deepsolid_ccpvdz_paper_net_continue_ckpt49999_lr2e5_batch384_mcmc20_iter100000	0	0
0026	2026-05-22 16:29:43	2026-05-22 22:36:00	tasks/phase1_diamond_c/ccpvdz/continuation/0026_deepsolid_ccpvdz_paper_net_continue_ckpt49999_lr2e5_batch384_mcmc20_iter150000	phase1_diamond_c/ccpvdz/continuation/deepsolid_ccpvdz_paper_net_continue_ckpt49999_lr2e5_batch384_mcmc20_iter150000	1	2
0027	2026-05-22 22:40:48	2026-05-23 00:22:00	tasks/phase1_diamond_c/ccpvdz/analysis/0027_ccpvdz_analysis	phase1_diamond_c/ccpvdz/analysis	0	0
0028	2026-05-22 23:00:47	2026-05-23 00:15:16	tasks/phase1_diamond_c/ccpvdz/training/0028_deepsolid_ccpvdz_paper_kfac_batch4096_mcmc20_iter1000	phase1_diamond_c/ccpvdz/training/deepsolid_ccpvdz_paper_kfac_batch4096_mcmc20_iter1000	5	14
0029	2026-05-23 00:28:32	2026-05-23 17:04:34	tasks/phase1_diamond_c/ccpvdz/continuation/0029_deepsolid_ccpvdz_paper_kfac_continue_ckpt999_batch4096_mcmc20_iter11000	phase1_diamond_c/ccpvdz/continuation/deepsolid_ccpvdz_paper_kfac_continue_ckpt999_batch4096_mcmc20_iter11000	4	4
0030	2026-05-23 11:04:37	2026-05-23 11:04:37	tasks/phase1_diamond_c/pbc_gamma/training/0030_ferminet_kfac_baseline	phase1_diamond_c/pbc_gamma/ferminet_kfac_baseline	0	0
0031	2026-05-23 11:10:24	2026-05-23 11:10:24	tasks/phase1_diamond_c/pbc_gamma/probe/0031_ferminet_cpu_config_check		1	0
0032	2026-05-23 12:27:33	2026-05-23 12:29:55	tasks/phase1_diamond_c/pbc_gamma/smoke/0032_ferminet_smoke	phase1_diamond_c/pbc_gamma/ferminet_smoke	1	2
0033	2026-05-23 12:34:19	2026-05-23 12:47:52	tasks/phase1_diamond_c/pbc_gamma/training/0033_ferminet_adam_short100	phase1_diamond_c/pbc_gamma/ferminet_adam_short100	1	2
0034	2026-05-23 12:49:11	2026-05-23 12:53:48	tasks/phase1_diamond_c/pbc_gamma/training/0034_ferminet_adam_short100_folx_tilefix	phase1_diamond_c/pbc_gamma/ferminet_adam_short100_folx_tilefix	1	2
0035	2026-05-23 13:02:16	2026-05-23 13:04:09	tasks/phase1_diamond_c/pbc_gamma/training/0035_ferminet_adam_short100_defaultlap	phase1_diamond_c/pbc_gamma/ferminet_adam_short100_defaultlap	1	2
0036	2026-05-23 13:09:51	2026-05-23 13:13:40	tasks/phase1_diamond_c/pbc_gamma/training/0036_ferminet_adam_short100_batch4096_defaultlap	phase1_diamond_c/pbc_gamma/ferminet_adam_short100_batch4096_defaultlap	1	2
0037	2026-05-23 13:09:51	2026-05-23 13:13:40	tasks/phase1_diamond_c/pbc_gamma/training/0037_ferminet_adam_short100_batch4096_folx	phase1_diamond_c/pbc_gamma/ferminet_adam_short100_batch4096_folx	1	2
0038	2026-05-23 13:17:31	2026-05-23 13:21:30	tasks/phase1_diamond_c/pbc_gamma/training/0038_ferminet_kfac_batch4096_iter400_defaultlap	phase1_diamond_c/pbc_gamma/ferminet_kfac_batch4096_iter400_defaultlap	1	2
0039	2026-05-23 13:26:06	2026-05-23 13:30:36	tasks/phase1_diamond_c/pbc_gamma/training/0039_ferminet_kfac_batch4096_iter400_folx	phase1_diamond_c/pbc_gamma/ferminet_kfac_batch4096_iter400_folx	1	2
0040	2026-05-23 13:36:22	2026-05-23 13:52:37	tasks/phase1_diamond_c/pbc_gamma/training/0040_ferminet_kfac_batch4096_iter2000_defaultlap	phase1_diamond_c/pbc_gamma/ferminet_kfac_batch4096_iter2000_defaultlap	1	2
0041	2026-05-23 13:36:22	2026-05-23 13:52:37	tasks/phase1_diamond_c/pbc_gamma/training/0041_ferminet_kfac_batch4096_iter2000_folx	phase1_diamond_c/pbc_gamma/ferminet_kfac_batch4096_iter2000_folx	1	2
0042	2026-05-23 14:21:25	2026-05-23 14:31:44	tasks/phase1_diamond_c/pbc_gamma/training/0042_ferminet_kfac_folx_batch4096_iter1000_paper	phase1_diamond_c/pbc_gamma/ferminet_kfac_folx_batch4096_iter1000_paper	1	2
0043	2026-05-23 14:37:25	2026-05-23 15:18:48	tasks/phase1_diamond_c/pbc_gamma/training/0043_ferminet_kfac_folx_batch4096_iter10000_paper	phase1_diamond_c/pbc_gamma/ferminet_kfac_folx_batch4096_iter10000_paper	1	2
0044	2026-05-23 15:41:28	2026-05-23 19:22:27	tasks/phase1_diamond_c/pbc_gamma/training/0044_ferminet_kfac_folx_batch4096_x64_burnin1000_iter20000_paper_pilot	phase1_diamond_c/pbc_gamma/ferminet_kfac_folx_batch4096_x64_burnin1000_iter20000_paper_pilot	1	2
0045	2026-05-23 15:58:17	2026-05-23 15:58:17	tasks/ferminet_pretraining/0045_ferminet_kfac_folx_batch4096_x64_burnin1000_iter20000_pbc_hf_pretrain_paper_pilot	phase1_diamond_c/pbc_gamma/ferminet_kfac_folx_batch4096_x64_burnin1000_iter20000_pbc_hf_pretrain_paper_pilot	0	0
0046	2026-05-23 19:33:07	2026-05-23 20:03:39	tasks/phase1_diamond_c/pbc_gamma/evaluation/0046_ferminet_x64_eval_ckpt18349_batch4096_mcmc20_iter2000	phase1_diamond_c/pbc_gamma/evaluation/ferminet_x64_eval_ckpt18349_batch4096_mcmc20_iter2000	1	2
